# [VF6]3-,MS+1,1.9896
E,Eshifted,DoS,Comment
-1539.3424268,-342.4268,4,A
-1539.3416345,-341.6345,6,Adash
-1539.3360346,-336.0346,3,B
-1539.2883111,-288.3111,3,C
-1539.2750572,-275.0572,6,D
-1539.2354939,-235.4939,3,E
-1539.2277383,-227.7383,1,F
