# [VF6]3-,MS=1,1.9896
E,Eshifted,DoS,Comment
# A, A', B - T1g, M_S = 1
-1539.3435881,-343.5881,3,T1gA
-1539.3442214,-344.2214,3,T1gAdash
-1539.3439815,-343.9815,3,T1gAB
-1539.3442249,-344.2249,3,T1gAdashB
-1539.3442685,-344.2685,3,T1gAAdash
-1539.3443200,-344.3200,3,T1gAAdashB
# C, D, E - T2g, M_S = 1
-1539.2912895,-291.2895,3,T2gD
-1539.2914711,-291.4711,3,T2gCD-T2gCDE
# C, D, E - T1g, M_S = 1
-1539.2265782,-226.5782,3,T1gD
-1539.2375245,-237.5245,3,T1gDE-T2gCDE
